match_id,champion,role,win,kills,deaths,assists,kda,damage_dealt,damage_taken,healing,vision_score,gold_earned,cs
BR1_3249829180,MissFortune,BOTTOM,True,16,3,16,10.67,40121,19464,8926,32,15902,190
BR1_3246804661,Nautilus,UTILITY,False,3,11,10,1.18,9201,31453,1817,70,8968,43
BR1_3246836201,Morgana,UTILITY,True,4,9,21,2.78,16370,26131,7123,84,11543,54
BR1_3246906133,Nautilus,UTILITY,True,1,7,24,3.57,13670,25489,2983,140,12567,39
BR1_3249811090,MissFortune,BOTTOM,True,16,6,10,4.33,45068,24579,11334,57,20634,281
BR1_3246926216,Braum,UTILITY,False,2,6,5,1.17,7836,18347,1749,47,6569,24
BR1_3249797505,Braum,UTILITY,False,2,11,22,2.18,13428,36472,4012,92,11283,39
BR1_3246891335,Braum,UTILITY,False,0,7,7,1.0,7278,19771,1243,85,7293,41
BR1_3246817087,Braum,UTILITY,False,1,7,16,2.43,11425,25938,3011,96,9105,31
BR1_3249790060,Nautilus,UTILITY,False,1,5,6,1.4,7644,14289,645,53,6618,27
BR1_3249957800,Nautilus,UTILITY,False,2,11,22,2.18,16427,42359,5795,127,12161,56
BR1_3246826084,Nautilus,UTILITY,True,2,3,19,7.0,12244,24901,7338,93,11678,35
BR1_3249950249,MissFortune,BOTTOM,True,13,0,1,14.0,14637,8152,3265,17,9377,132
BR1_3246481695,Braum,UTILITY,True,0,0,20,20.0,8836,18293,7799,67,8785,36
BR1_3249903070,MissFortune,BOTTOM,True,12,7,8,2.86,24711,24192,5053,27,17537,219
BR1_3246843693,Braum,UTILITY,True,2,8,30,4.0,15418,42704,10061,126,12882,42
BR1_3246474208,Braum,UTILITY,True,1,6,26,4.5,14823,30658,5709,109,10575,38
BR1_3246527097,Nautilus,UTILITY,False,2,9,14,1.78,11145,25828,2196,76,9195,58
BR1_3249884728,MissFortune,BOTTOM,True,14,3,8,7.33,26334,15381,7439,20,16400,251
BR1_3246873922,Braum,UTILITY,False,3,9,22,2.78,11553,40989,6402,116,12092,54
